"","ele","dist_km","dist_total","speed","times"
"3880",28.1,0.00640984076423988,20.8253261778943,1.15377133756318,"12:24:35"
"3881",28.1,0.00476615314112137,20.8300923310355,1.71581513080369,"12:24:37"
"3882",28.1,0.00140595748452899,20.83149828852,0.506144694430436,"12:24:38"
"3883",28.1,0.001846346090246,20.8333446346102,0.664684592488561,"12:24:39"
"3884",28.1,0.00201193992993394,20.8353565745402,0.724298374776218,"12:24:40"
"3885",28.1,0.00184736297075328,20.8372039375109,0.66505066947118,"12:24:41"
"3886",28.1,0.00262249405149454,20.8398264315624,0.472048929269017,"12:24:42"
"3887",28.1,0.00354511125450195,20.8433715428169,1.2762400516207,"12:24:44"
"3888",28.1,0.00340652550038352,20.8467780683173,1.22634918013807,"12:24:45"
"3889",28.1,0.00128447059121384,20.8480625389085,0.462409412836982,"12:24:46"
"3890",28.1,0.00433943391724916,20.8524019728258,1.5621962102097,"12:24:47"
"3891",28.1,0.00181988974027664,20.854221862566,0.327580153249795,"12:24:48"
"3892",28.1,0.00521132286603215,20.8594331854321,1.87607623177157,"12:24:50"
"3893",28,0.0038235896295615,20.8632567750616,1.37649226664214,"12:24:51"
"3894",28,0.00140595432096942,20.8646627293826,0.506143555548992,"12:24:52"
"3895",28,0.00246907971299353,20.8671318090956,0.444434348338836,"12:24:53"
"3896",27.9,0.0028662731826173,20.8699980822782,1.03185834574223,"12:24:55"
"3897",27.9,0.00143430317104645,20.8714323854493,0.258174570788361,"12:24:56"
"3898",27.9,0.00242024117630915,20.8738526266256,0.871286823471294,"12:24:58"
"3899",27.8,0.00162961689491819,20.8754822435205,0.586662082170549,"12:24:59"
"3900",27.8,0.00155586886497002,20.8770381123854,0.280056395694603,"12:25:00"
"3901",27.7,0.00306135711010949,20.8800994694956,1.10208855963941,"12:25:02"
"3902",27.7,0.00212559334911405,20.8822250628447,0.765213605681056,"12:25:03"
"3903",27.6,0.00172874224109616,20.8839538050858,0.622347206794619,"12:25:04"
"3904",27.5,0.0017287420011128,20.8856825470869,0.622347120400609,"12:25:05"
"3905",27.5,0.0015057935072858,20.8871883405942,0.542085662622889,"12:25:06"
"3906",27.4,0.00246907646280688,20.889657417057,0.444433763305238,"12:25:07"
"3907",27.3,0.00126144262998733,20.890918859687,0.45411934679544,"12:25:09"
"3908",27.3,0.0011646092425302,20.8920834689295,0.419259327310873,"12:25:10"
"3909",27.2,0.000974170559198503,20.8930576394887,0.350701401311461,"12:25:11"
"3910",27.2,0.00051862217417859,20.8935762616629,0.0933519913521462,"12:25:12"
"3911",27.2,0.00170347169136497,20.8952797333542,0.61324980889139,"12:25:14"
"3912",27.1,0.00132907770468121,20.8966088110589,0.478467973685235,"12:25:15"
"3913",27,0.00107056995785667,20.8976793810168,0.385405184828401,"12:25:16"
"3914",27,0.000892019449863157,20.8985714004666,0.160563500975368,"12:25:17"
"3915",27,0.00110875821170028,20.8996801586783,0.399152956212101,"12:25:19"
"3916",26.9,0.0019491190579938,20.9016292777363,0.350841430438884,"12:25:20"
"3917",26.8,0.000952884622925779,20.9025821623593,0.343038464253281,"12:25:22"
"3918",26.8,0.00251216260358187,20.9050943249628,0.452189268644736,"12:25:23"
"3919",26.6,0.00196025929345835,20.9070545842563,0.705693345645006,"12:25:25"
"3920",26.5,0.00302044994897462,20.9100750342053,1.08736198163086,"12:25:26"
"3921",26.4,0.00125146730826488,20.9113265015135,0.450528230975358,"12:25:27"
"3922",26.3,0.00311978733641539,20.91444628885,0.56156172055477,"12:25:28"
"3923",26.2,0.00156234876866147,20.9160086376186,0.562445556718128,"12:25:30"
"3924",26.1,0.00144705061239316,20.917455688231,0.520938220461536,"12:25:31"
"3925",26,0.00156234876000507,20.919018036991,0.281222776800912,"12:25:32"
